symbol,interval,start,end,method,param,final_balance,return_pct,max_drawdown,win_rate,total_trades,profit_factor,sharpe
BTCUSDT,1m,20240101,20241231,percentage,0.005,11165.671486615309,0.11656714866153088,0.2765783068899238,0.33393501805054154,1108,1.1180036269654186,
BTCUSDT,1mto5m,20240101,20241231,percentage,0.005,41446.73318120103,3.144673318120103,0.16602929224270205,0.36981566820276496,868,1.5651827851251554,
BTCUSDT,1m,20240101,20241231,percentage,0.0055,6836.0092543486935,-0.31639907456513067,0.4422398489547059,0.3216494845360825,970,1.0053634748128064,
BTCUSDT,1mto5m,20240101,20241231,percentage,0.0055,32100.090066535045,2.2100090066535047,0.19959291288002304,0.3608108108108108,740,1.4431623826919797,
BTCUSDT,1m,20240101,20241231,log_percentage,0.003,16960.572524546515,0.6960572524546514,0.3092872822801638,0.35040530582166546,2714,1.2155279671989867,
BTCUSDT,1mto5m,20240101,20241231,log_percentage,0.003,97783.97255206952,8.778397255206952,0.19595259951454239,0.38146341463414635,2050,1.573281800166842,
BTCUSDT,1m,20240101,20241231,log_percentage,0.0035,11703.765323911071,0.17037653239110714,0.34493731116606713,0.33301707779886147,2108,1.153976930902413,
BTCUSDT,1mto5m,20240101,20241231,log_percentage,0.0035,52093.28102212085,4.209328102212085,0.24432676041042248,0.3677379480840544,1618,1.421277224670802,
BTCUSDT,1m,20240101,20241231,log_percentage,0.004,11732.894586609034,0.17328945866090345,0.26467969249581197,0.33652694610778444,1670,1.1450503024676026,
BTCUSDT,1mto5m,20240101,20241231,log_percentage,0.004,39394.41717848352,2.939441717848352,0.1305026600711114,0.3704545454545455,1320,1.4366167261111373,
BTCUSDT,1m,20240101,20241231,log_percentage,0.0045,10826.256047268771,0.0826256047268771,0.38790594176844895,0.3318452380952381,1344,1.117451059394875,
BTCUSDT,1mto5m,20240101,20241231,log_percentage,0.0045,43695.708392912005,3.3695708392912005,0.1287928089817698,0.37832699619771865,1052,1.4745402514874284,
BTCUSDT,1m,20240101,20241231,log_percentage,0.005,11165.671486615309,0.11656714866153088,0.2765783068899238,0.33393501805054154,1108,1.1180036269654186,
BTCUSDT,1mto5m,20240101,20241231,log_percentage,0.005,41446.73318120103,3.144673318120103,0.16602929224270205,0.36981566820276496,868,1.5651827851251554,
BTCUSDT,1m,20240101,20241231,log_percentage,0.0055,6836.0092543486935,-0.31639907456513067,0.4422398489547059,0.3216494845360825,970,1.0053634748128064,
BTCUSDT,1mto5m,20240101,20241231,log_percentage,0.0055,32100.090066535045,2.2100090066535047,0.19959291288002304,0.3608108108108108,740,1.4431623826919797,
BTCUSDT,5m,20240101,20241231,atr,"(14, 1.5)",2019809.7969307702,200.98097969307702,0.11303721319124238,0.44812469556746226,6159,2.0211651181017407,
BTCUSDT,5m,20240101,20241231,atr,"(14, 2.0)",652230.8586726391,64.22308586726392,0.08577994410971088,0.42152357920193473,4135,1.8166436142556954,
BTCUSDT,5m,20240101,20241231,atr,"(14, 2.5)",223484.54889347783,21.34845488934778,0.10518578410778653,0.39913592555666333,3009,1.65851695846832,
BTCUSDT,5m,20240101,20241231,fixed,50,1465817779.7249334,146580.77797249335,0.1354053431233668,0.48774795799299886,17140,3.317885884217087,
BTCUSDT,5m,20240101,20241231,fixed,100,8310902.150186255,830.0902150186255,0.09095350492766772,0.47909929332854234,8349,2.2846626954061766,
BTCUSDT,5m,20240101,20241231,fixed,150,1045444.1424896246,103.54441424896245,0.08999025012289688,0.4363154676992052,4907,1.8874265519874447,
BTCUSDT,5m,20240101,20241231,fixed,200,263123.60168835067,25.312360168835067,0.1407693005393601,0.40417801998183467,3303,1.7053405935579335,
BTCUSDT,5m,20240101,20241231,fixed,250,110894.55801250601,10.089455801250601,0.11930547879976644,0.37891617273497036,2362,1.5258612402825422,
BTCUSDT,5m,20240101,20241231,fixed,300,91480.6754155875,8.14806754155875,0.14461557049429863,0.38346727898966704,1742,1.6410560463156643,
BTCUSDT,5m,20240101,20241231,fixed,350,52301.301638659745,4.230130163865974,0.21049435222268487,0.3861671469740634,1388,1.4480988776862724,
BTCUSDT,5m,20240101,20241231,fixed,400,34590.26771705893,2.459026771705893,0.19576706715360098,0.3787610619469027,1130,1.4078134312732915,
BTCUSDT,5m,20240101,20241231,fixed,450,42090.740690056955,3.2090740690056956,0.1700964228840337,0.38169642857142855,896,1.4932391194921035,
BTCUSDT,5m,20240101,20241231,fixed,500,37069.362987497996,2.7069362987498,0.13344168331725245,0.3662162162162162,740,1.4913784263177248,
BTCUSDT,5m,20240101,20241231,percentage,0.003,104585.2473627957,9.45852473627957,0.19221684631740696,0.38393731635651324,2042,1.6011697449683364,
BTCUSDT,5m,20240101,20241231,percentage,0.0035,55417.31956120093,4.541731956120093,0.21363609108438048,0.369727047146402,1612,1.4374877289836776,
BTCUSDT,5m,20240101,20241231,percentage,0.004,38476.263551330434,2.8476263551330434,0.13050275731426556,0.3704545454545455,1320,1.4283467529243914,
BTCUSDT,5m,20240101,20241231,percentage,0.0045,42921.03515130541,3.2921035151305413,0.11550187128622506,0.37855787476280833,1054,1.4745476415887178,
BTCUSDT,5m,20240101,20241231,percentage,0.005,42178.56697189421,3.2178566971894207,0.15139780957546928,0.37066974595842955,866,1.5694649722354208,
BTCUSDT,5m,20240101,20241231,percentage,0.0055,31462.603487830907,2.1462603487830907,0.19960109943222623,0.35983827493261455,742,1.4325657235883111,
BTCUSDT,5m,20240101,20241231,log_percentage,0.003,104585.2473627957,9.45852473627957,0.19221684631740696,0.38393731635651324,2042,1.6011697449683364,
BTCUSDT,5m,20240101,20241231,log_percentage,0.0035,55417.31956120093,4.541731956120093,0.21363609108438048,0.369727047146402,1612,1.4374877289836776,
BTCUSDT,5m,20240101,20241231,log_percentage,0.004,38476.263551330434,2.8476263551330434,0.13050275731426556,0.3704545454545455,1320,1.4283467529243914,
